"Gene","logFC_Condition","adjP_Condition","logFC_Platform","Ec","Ep","Em","Es","Ex","AUC_Microarray","AUC_RNAseq","BIOS_Rank"
"DOCK1",-0.383248266479679,3.23841690748157e-06,5.02201237440396e-15,0.0142038565090861,0.999945776922059,0,0,NA,NA,NA,NA
"PPP6R2",-0.293824880606239,3.23894803485818e-06,7.07482608485084e-16,0.0108895268710306,0.999928283052057,0,0,NA,NA,NA,NA
"FAM120B",-0.324361710034938,3.2957628528355e-06,1.42749935767168e-15,0.0120047234205174,0.999935341498822,0,0,NA,NA,NA,NA
"POLR3GL",-0.388948552997731,3.31946553058849e-06,-1.93861376183314e-15,0.01438692946568,0.999946619341416,0,0,NA,NA,NA,NA
"MED14",0.471460190184334,3.36052590722848e-06,3.99699820148069e-16,0.017421982203012,0.999956531817518,0,0,NA,NA,NA,NA
"POLR2L",0.357252711273694,3.39570524470673e-06,-4.23375419250917e-15,0.0131907373680097,0.999941594313874,0,0,NA,NA,NA,NA
"GCA",0.31322678689331,3.40810418169126e-06,-4.47886627733864e-15,0.0115618338034763,0.999932927137693,0,0,NA,NA,NA,NA
"SNHG12",0.412708567010055,3.43492415079539e-06,-4.19197372350414e-15,0.0152244221092938,0.999949880072877,0,0,NA,NA,NA,NA
"KIF1B",-0.378918596008997,3.47031563773056e-06,1.01387271452193e-15,0.0139665541387003,0.999945120123087,0,0,NA,NA,NA,NA
"NNT",-0.439124727986935,3.48480080712055e-06,2.71851584992694e-15,0.0161803280146912,0.999953091088843,0,0,NA,NA,NA,NA
"DYRK4",0.406076291769844,3.6470621027939e-06,-1.93861376183314e-15,0.014908413647407,0.999949008275795,0,0,NA,NA,NA,NA
"USP45",0.411544874583192,3.72367171842924e-06,2.52911105710416e-15,0.015084099371807,0.999949729140874,0,0,NA,NA,NA,NA
"PSAP",-0.335292250763316,3.80238832651253e-06,3.48727647961939e-15,0.0122686940052891,0.999937555572451,0,0,NA,NA,NA,NA
"IFT52",0.410207049668308,3.80238832651253e-06,-2.20043803426463e-15,0.0150099048240198,0.999949554565504,0,0,NA,NA,NA,NA
"SNRPD3",0.332472675753638,3.83982276660568e-06,1.97203813703716e-15,0.0121559727475064,0.99993699837686,0,0,NA,NA,NA,NA
"PTCD3",0.454102422040253,3.8713295282033e-06,3.62097398043547e-15,0.0165921584435126,0.999954745743848,0,0,NA,NA,NA,NA
"CDK3",-0.444564126312802,3.89354213860782e-06,-3.20874001958589e-15,0.0162361872114171,0.999953704897122,0,0,NA,NA,NA,NA
"GTF2H4",0.472541548022862,3.9094968364621e-06,2.67952074552225e-15,0.0172523012594717,0.999956638744743,0,0,NA,NA,NA,NA
"CLK2",0.381999202379327,4.01137976826618e-06,3.68364468394301e-15,0.0139178223903338,0.999945588970558,0,0,NA,NA,NA,NA
"EYA3",0.410988531706885,4.25863933227826e-06,1.90379670432896e-15,0.0149019468655129,0.999949656680683,0,0,NA,NA,NA,NA
"CCDC88C",-0.493761910171991,4.41716606392897e-06,2.61824272431488e-15,0.0178502975602407,0.999958642291952,0,0,NA,NA,NA,NA
"COG8",0.272824218180191,4.47587495801318e-06,-1.98875032463917e-15,0.00985247822356284,0.999922511872134,0,0,NA,NA,NA,NA
"NDUFA7",0.337191397699205,4.49579123706037e-06,-5.31447565743914e-15,0.0121725753939656,0.999937925623815,0,0,NA,NA,NA,NA
"SAT2",-0.43794544230865,4.5196152668164e-06,-2.0388868874452e-15,0.0158029997389176,0.999952956001333,0,0,NA,NA,NA,NA
"SUFU",0.419761156600803,4.55446058561088e-06,4.56799794454936e-15,0.0151373782769581,0.999950776896328,0,0,NA,NA,NA,NA
"SEC61A1",0.353058698271816,4.58539904833404e-06,3.65439835563949e-15,0.0127249538079382,0.999940861808141,0,0,NA,NA,NA,NA
"SUMF2",0.460659583711046,4.62836076965595e-06,2.43440866069277e-15,0.0165905129416996,0.999955436279761,0,0,NA,NA,NA,NA
"ITSN2",-0.355647264527725,4.65201840004141e-06,3.14189126917785e-15,0.0128032101934433,0.999941315955346,0,0,NA,NA,NA,NA
"RBBP6",0.363422117288375,4.67950682931366e-06,3.43435455221303e-15,0.0130768251429689,0.999942641105514,0,0,NA,NA,NA,NA
"DUSP12",0.256517520076155,4.79056842754167e-06,-2.21715022186664e-15,0.00921249200678857,0.999917378899296,0,0,NA,NA,NA,NA
"KCTD2",-0.345895334210443,4.85872136276493e-06,1.54309198858558e-15,0.0124080532296798,0.9999395696102,0,0,NA,NA,NA,NA
"PLAA",0.419305984856031,4.92371747782889e-06,1.68375290090249e-15,0.0150251234334905,0.999950719926498,0,0,NA,NA,NA,NA
"SNX1",-0.485972522672646,4.92371747782889e-06,1.35925792496347e-15,0.0174140064846309,0.999957927172861,0,0,NA,NA,NA,NA
"XAB2",0.395229234423878,4.97040656143804e-06,3.89115434666796e-15,0.0141514369920816,0.999947519397242,0,0,NA,NA,NA,NA
"MRPL13",0.434897592185908,5.00886844826862e-06,-2.80416581138724e-15,0.0155619589312428,0.9999526034756,0,0,NA,NA,NA,NA
"YBX1",0.327800589332913,5.07501708047716e-06,2.95248647635508e-15,0.0117170926888347,0.999936053992585,0,0,NA,NA,NA,NA
"MRPL41",-0.422040940491596,5.07501708047716e-06,-5.78241691029541e-15,0.0150856739749589,0.999951060388363,0,0,NA,NA,NA,NA
"GOLGA3",-0.334497969128091,5.08130290599441e-06,2.28956970147535e-15,0.0119552736957562,0.99993739955942,0,0,NA,NA,NA,NA
"CTSZ",-0.462150401707607,5.08376192799242e-06,6.12432041498653e-15,0.0165170367544543,0.999955590543899,0,0,NA,NA,NA,NA
"NCBP1",0.439528327201561,5.11491035317053e-06,3.32015460359929e-15,0.0157006626935023,0.999953137154733,0,0,NA,NA,NA,NA
"KATNA1",0.265450795525638,5.17479124713215e-06,-2.41212574389009e-15,0.00947327296166979,0.999920268996841,0,0,NA,NA,NA,NA
"TMEM11",-0.296249945641061,5.25865850322348e-06,-4.00326527183145e-15,0.0105584528298879,0.999928896785229,0,0,NA,NA,NA,NA
"POP5",0.30642395194355,5.48754053569484e-06,-2.84664262154235e-15,0.0108827808642684,0.999931365746722,0,0,NA,NA,NA,NA
"MFF",0.238179856419328,5.62589507965651e-06,-3.30901314519795e-15,0.00844167322622733,0.999910767024789,0,0,NA,NA,NA,NA
"UBQLN1",0.308352519660701,5.78836083539826e-06,2.60710126591354e-15,0.0109030244044897,0.999931815389935,0,0,NA,NA,NA,NA
"ZBTB7A",-0.44090432425898,5.82445542167866e-06,6.97176759463845e-15,0.0155818822780715,0.999953293573899,0,0,NA,NA,NA,NA
"SMU1",0.325152606328062,5.83084135858819e-06,3.13492785767702e-15,0.0114900869652963,0.999935506697254,0,0,NA,NA,NA,NA
"HIGD2A",-0.351291085661216,5.85835874713733e-06,-2.69901829772459e-15,0.0124089066582825,0.999940547846443,0,0,NA,NA,NA,NA
"TCEAL1",0.436088449940767,6.03921655784611e-06,-1.05843854812729e-15,0.0153653887350849,0.999952741801265,0,0,NA,NA,NA,NA
"TRAPPC2L",0.354748241925611,6.05163509852395e-06,-3.32572533279996e-15,0.0124972649061467,0.999941158978847,0,0,NA,NA,NA,NA
"PPP3CC",-0.415327088100511,6.09760692384288e-06,-2.50682814030148e-15,0.0146221538828982,0.999950216605,0,0,NA,NA,NA,NA
