"Gene","BIOS","adjP","AUC_train","Em","Es"
"LOC105376274",0.344559360094882,0.0250387341094133,0.777777777777778,0,0
"LOC105376275",0.269285213966646,0.532594703354402,0.527777777777778,0,0
"LOC101929116",0.247435897435897,0.999999999999999,0.449074074074074,0,0
"MVB12B",0.312475204160895,0.224303867397751,0.682098765432099,0,0
"NRON",0.268408850870454,0.860334919906925,0.524691358024691,0,0
"LOC105376276",0.263263316199843,0.855970384627933,0.506172839506173,0,0
"LMX1B-DT",0.248717948717949,0.999999999999999,0.453703703703704,0,0
"LMX1B",0.29590199146323,0.714582824928771,0.623456790123457,0,0
"LOC107987129",0.231019377464984,0.190334375084795,0.387345679012346,0,0
"ZBTB43",0.297461154859271,0.735850019241473,0.62962962962963,0,0
"ZBTB34",0.252991452991453,0.999999999999999,0.469135802469136,0,0
"RALGPS1",0.325440227316073,0.0954521779875101,0.725308641975309,0,0
"LOC105376279",0.283508124499454,0.532594703354402,0.578703703703704,0,0
"ANGPTL2",0.328760121098216,0.0838803182692248,0.731481481481482,0,0
"LOC105376278",0.328837012151638,0.030584097696863,0.731481481481482,0,0
"GARNL3",0.304586737838732,0.434374430392184,0.654320987654321,0,0
"SLC2A8",0.341470743775358,0.0252255360223664,0.774691358024691,0,0
"ZNF79",0.287215172108307,0.718436277748901,0.592592592592593,0,0
"RPL12",0.353624190285188,0.00309681475548739,0.813271604938272,0,0
"SNORA65",0.353860116955217,0.0193873430885036,0.817901234567901,0,0
"LRSAM1",0.36571184912593,0.00814348688726029,0.861111111111111,0,0
"NIBAN2",0.266239694506847,0.991004803852312,0.516975308641975,0,0
"LOC105376281",0.295263477686171,0.464549345576227,0.62037037037037,0,0
"STXBP1",0.340714134235304,0.032268264331086,0.771604938271605,0,0
"MIR3911",0.348316367458419,0.0137431009891804,0.79320987654321,0,0
"PTRH1",0.371669087541069,0.000949130516002852,0.854938271604938,0,0
"CFAP157",0.384376348314577,0.000413226165741019,0.885802469135803,0,0
"TTC16",0.325839939516192,0.0458628065899475,0.719135802469136,0,0
"TOR2A",0.299505997876544,0.353145474851237,0.635802469135802,0,0
"SH2D3C",0.288888888888889,0.999999999999999,0.598765432098765,0,0
"LOC107987132",0.33099102152265,0.0685459234971833,0.739197530864198,0,0
"MIR3960",0.27011346655459,0.842455365289449,0.530864197530864,0,0
"MIR2861",0.283790874616355,0.837415277514623,0.580246913580247,0,0
"CDK9",0.267521367521368,0.999999999999999,0.521604938271605,0,0
"FPGS",0.373526396174899,0.000935989078054172,0.87962962962963,0,0
"ENG",0.318639602632973,0.120748809136419,0.700617283950617,0,0
"LOC102723566",0.306067486089054,0.213991167415835,0.657407407407407,0,0
"LOC105379841",0.275215388407804,0.983093071933896,0.549382716049383,0,0
"AK1",0.301780025809482,0.152652983195743,0.638888888888889,0,0
"MIR4672",0.214937140300784,0.0751944189507065,0.325617283950617,0,0
"ST6GALNAC6",0.62924536640868,0.00328071057280216,0.802469135802469,1,0.33
"ST6GALNAC4",0.282168171700868,0.656663073623637,0.574074074074074,0,0
"PIP5KL1",0.262409943395347,0.907578310663942,0.503086419753086,0,0
"DPM2",0.341291595624924,0.0180484029607385,0.774691358024691,0,0
"EEIG1",0.330388338140978,0.0306928745069396,0.740740740740741,0,0
"NAIF1",0.285540233459961,0.582956856977325,0.58641975308642,0,0
"SLC25A25",0.278650226998635,0.835851671232353,0.561728395061728,0,0
"SLC25A25-AS1",0.337658103644424,0.0416754448532624,0.762345679012346,0,0
"PTGES2",0.325769223126317,0.127675150779943,0.728395061728395,0,0
"PTGES2-DT",0.64085576154035,0.00167490795100742,0.854938271604938,1,0.33
"LCN2",0.30602438358339,0.484727039356337,0.657407407407407,0,0
"BBLN",0.359703375170847,0.00604501874990797,0.833333333333333,0,0
"CIZ1",0.312421086280346,0.206412261172129,0.682098765432099,0,0
"DNM1",0.315283917885136,0.265016444687548,0.691358024691358,0,0
"MIR199B",0.261538461538462,0.999999999999999,0.5,0,0
"MIR3154",0.261538461538462,0.999999999999999,0.5,0,0
"GOLGA2",0.283078700984295,0.402079096019757,0.577160493827161,0,0
"SWI5",0.355685238143356,0.00532733955985442,0.824074074074074,0,0
"TRUB2",0.320445460323087,0.131544666295492,0.709876543209877,0,0
"LOC105376286",0.338171430845978,0.0334402080834543,0.768518518518518,0,0
"COQ4",0.296169815544376,0.262871591707216,0.623456790123457,0,0
"TRR-TCT3-1",0.284974159362134,0.206729579410864,0.583333333333333,0,0
"SLC27A4",0.24211821869868,0.469416528939195,0.429012345679012,0,0
"URM1",0.335752732033814,0.0307800620152826,0.762345679012346,0,0
"MIR219A2",0.245893411680822,0.477920054407038,0.442901234567901,0,0
"MIR219B",0.245893411680822,0.477920054407038,0.442901234567901,0,0
"CERCAM",0.312771086874491,0.108929910447162,0.675925925925926,0,0
"ODF2",0.372427450209063,0.000496982909166573,0.867283950617284,0,0
"GLE1",0.286556308969326,0.397712490191059,0.589506172839506,0,0
"LOC101929270",0.314359436453283,0.187585993686553,0.686728395061728,0,0
"SPTAN1",0.301711967946273,0.167086603858508,0.643518518518518,0,0
"DYNC2I2",0.327220229613457,0.0525908712439356,0.728395061728395,0,0
"SET",0.38110671370472,0.000315821540786773,0.895061728395062,0,0
"PKN3",0.327702988506158,0.0401306583081155,0.728395061728395,0,0
"ZDHHC12",0.288234909053249,0.510127816832616,0.595679012345679,0,0
"ZDHHC12-DT",0.274364319893654,0.941848107729106,0.546296296296296,0,0
"ZER1",0.390275663361789,0.000130608883883876,0.925925925925926,0,0
"TBC1D13",0.282919645947793,0.849982102514108,0.577160493827161,0,0
"ENDOG",0.289154041903556,0.402813658211075,0.598765432098765,0,0
"SPOUT1",0.330752919453426,0.0325093024887812,0.743827160493827,0,0
"KYAT1",0.317802064191643,0.0942790756959211,0.697530864197531,0,0
"LRRC8A",0.324807800139337,0.0648080539755896,0.722222222222222,0,0
"LOC101929291",0.345462251184761,0.00849937746945718,0.787037037037037,0,0
"PHYHD1",0.278932554733765,0.557481805835699,0.561728395061728,0,0
"DOLK",0.357475244021483,0.00271698370289524,0.833333333333333,0,0
"NUP188",0.382439890759628,0.000177839012667846,0.901234567901235,0,0
"LOC101929314",0.385469543708224,0.000263065845696462,0.907407407407407,0,0
"SH3GLB2",0.324728645301219,0.136175303718607,0.725308641975309,0,0
"MIGA2",0.364107625016441,0.000999060476490811,0.848765432098765,0,0
"DOLPP1",0.350102058651062,0.012071749503783,0.805555555555556,0,0
"CRAT",0.357845156046196,0.00857812254711857,0.824074074074074,0,0
"PTPA",0.348992406630161,0.00922715804841098,0.805555555555556,0,0
"IER5L",0.375943528839114,0.00103180011365819,0.867283950617284,0,0
"LOC105376289",0.282485250414515,0.968248136358155,0.575617283950617,0,0
"IER5L-AS1",0.358474465907646,0.00279373303634693,0.824074074074074,0,0
"LINC02975",0.322072093500518,0.155461068097283,0.712962962962963,0,0
"LOC107987133",0.232493930802971,0.262785473761968,0.393518518518519,0,0
