"draw","MinMedian","Jaccard_vs_equal","Ec","Ep","Em","Es","Ex"
39,0.923583605494175,0.904761904761905,0.077631101891316,0.0763131508056437,0.33762684351388,0.191658086001337,0.316770817787823
40,0.926670025247261,0.904761904761905,0.290032707714989,0.399165525605148,0.0694647541493886,0.153960279702481,0.0873767328279936
41,0.91963727329581,0.739130434782609,0.112240297073389,0.425932848859058,0.293554435246514,0.151392806037332,0.0168796127837078
42,0.926670025247261,0.904761904761905,0.199233765350569,0.39369360976674,0.0524955261580248,0.166866062883061,0.187711035841605
43,0.923583605494175,1,0.0693171530709827,0.831578413017187,0.025734663368272,0.0511608166505434,0.0222089538930152
44,0.926670025247261,0.904761904761905,0.175087745750088,0.0167882956337704,0.114836030758578,0.174919827912435,0.518368099945128
45,0.921200750469043,0.818181818181818,0.170241763108911,0.0189422145888793,0.211658028803335,0.376552093898487,0.222605899600388
46,0.921200750469043,0.739130434782609,0.0698022715917733,0.0132622305728808,0.00602848927407922,0.471446108692504,0.439460899868762
47,0.930555555555556,0.538461538461538,0.323990017857306,0.179281463005921,0.144467950938379,0.0186998180909382,0.333560750107456
48,0.91963727329581,0.739130434782609,0.240575504694743,0.106384515716362,0.306006982076708,0.328170127643885,0.0188628698683015
49,0.91963727329581,0.666666666666667,0.00582496950732919,0.104338489173535,0.0306210906485774,0.769484839103048,0.0897306115675107
50,0.926670025247261,0.6,0.625005608340562,0.00845057484372037,0.239349832212237,0.0691414477137299,0.058052536889751
51,0.91963727329581,0.739130434782609,0.0954505273002408,0.0508522780884837,0.23192364596396,0.618949652900089,0.00282389574722736
52,0.922645519190235,0.904761904761905,0.31164511988137,0.0182535746819468,0.0343132509893714,0.412133143473569,0.223654910973743
53,0.91963727329581,0.739130434782609,0.199858438140825,0.290840448176544,0.0709101007227591,0.429898847903129,0.0084921650567421
54,0.921200750469043,0.818181818181818,0.118968167450883,0.420680071263598,0.060509873886612,0.217016427449032,0.182825459949875
55,0.926670025247261,0.666666666666667,0.176953907844384,0.17198124765213,0.54292468174188,0.0644918372930658,0.0436483254685398
56,0.933641975308642,0.666666666666667,0.0239306493919025,0.480294354619365,0.0114093786734325,0.105998959810392,0.378366657504909
