"Gene","adjP_Condition","Ec","Ep","Em","Es","Ex","AUC_Microarray","AUC_RNAseq","Ex_train"
"ALDH1A3",4.52183906364617e-05,0.0199859486576509,0.999980215699541,0,0,0.654384724186704,0.78452380952381,0.864197530864197,0.62603305785124
"BANK1",1.90728229849782e-05,0.0256190410374147,0.999983629791411,1,0.33,0.633663366336634,0.803571428571429,0.771604938271605,0.659090909090909
"SPATA22",0.0011440534838182,0.011685484065746,0.999976680654626,1,0.33,0.228571428571429,0.519047619047619,0.904320987654321,0.165289256198347
"PDE1A",0.000648937828559236,0.0100491847554308,0.999969938753899,0,0,0.579207920792079,0.808928571428571,0.737654320987654,0.668388429752066
"FOXN1",0.0550544835010058,0.00321791350449635,0.999962311560907,1,0.33,0.405940594059406,0.673809523809524,0.62962962962963,0.433884297520661
"TEX10",4.49279164585313e-15,0.0637040840606597,0.999979409271879,0,0,0.831683168316832,0.972619047619048,0.895061728395062,0.952479338842975
"NRXN1",8.02146641925252e-12,0.108294468538314,0.999992046614188,1,0.33,0.673267326732673,0.967857142857143,0.796296296296296,0.944214876033058
"VPS9D1-AS1",0.0128083001571155,0.00625867372222211,0.999971466178258,0,0,0.484441301272984,0.678571428571429,0.766975308641975,0.442148760330579
"MAP4K4",1.16940930516385e-05,0.0167796641710791,0.999972336294867,0,0,0.678217821782178,0.80952380952381,0.799382716049383,0.669421487603306
"SMCHD1",6.65797813540598e-18,0.105873514774218,0.99998589289281,0,0,0.737623762376238,1,0.83641975308642,1
"ZNF763",1.05927228512741e-05,0.0175440992712642,0.999973402620288,0,0,0.267326732673267,0.961904761904762,0.54320987654321,0.933884297520661
"FAM120AOS",8.97679069479697e-11,0.0337944691970654,0.999971989959978,0,0,0.693069306930693,0.977380952380952,0.808641975308642,0.960743801652893
"TSPAN3",7.99272716488433e-14,0.07561910665751,0.999984764291058,0,0,0.806930693069307,0.994047619047619,0.87962962962963,0.989669421487603
"FIRRE",0.000342596451479982,0.0211965566516867,0.999985764970807,0,0,0.380374823196605,0.613690476190476,0.861111111111111,0.329545454545455
"LINC00924",0.931156394629491,5.25582045239761e-06,0.999395880536005,1,0.33,0.267326732673267,0.59047619047619,0.54320987654321,0.289256198347107
"LINC00460",3.14638160682377e-06,0.0498147575554028,0.999991223699984,0,0,0.673479490806224,0.796428571428571,0.822530864197531,0.646694214876033
"THEMIS",2.37810879150357e-05,0.0268758283472903,0.999984883612467,1,0.33,0.628712871287129,0.885119047619048,0.768518518518518,0.800619834710744
"UBALD1",6.21545894318574e-06,0.0283071124027467,0.999983659827815,0,0,0.53960396039604,0.9,0.712962962962963,0.826446280991736
